train_loss,epoch,step,val_loss,test_loss
0.5376826524734497,0,0,,
,0,0,0.45178964734077454,
0.4524616003036499,1,1,,
,1,1,1.5880681276321411,
0.48922377824783325,2,2,,
,2,2,11.448508262634277,
0.44805416464805603,3,3,,
,3,3,5.594895362854004,
0.4194572865962982,4,4,,
,4,4,1.1379542350769043,
0.42351123690605164,5,5,,
,5,5,0.4917861521244049,
0.4179232120513916,6,6,,
,6,6,0.47275781631469727,
0.40461623668670654,7,7,,
,7,7,0.45573365688323975,
0.402702271938324,8,8,,
,8,8,0.44523197412490845,
0.39725279808044434,9,9,,
,9,9,0.4443359971046448,
0.3914356231689453,10,10,,
,10,10,0.44411006569862366,
0.3825044631958008,11,11,,
,11,11,0.443659245967865,
0.38734644651412964,12,12,,
,12,12,0.44350531697273254,
0.40713101625442505,13,13,,
,13,13,0.443534791469574,
0.39548978209495544,14,14,,
,14,14,0.44302159547805786,
0.38648200035095215,15,15,,
,15,15,0.4422001242637634,
0.3947426676750183,16,16,,
,16,16,0.44149523973464966,
0.41487789154052734,17,17,,
,17,17,0.44129371643066406,
0.4035719931125641,18,18,,
,18,18,0.44159749150276184,
0.3965747654438019,19,19,,
,19,19,0.4417021572589874,
0.4003754258155823,20,20,,
,20,20,0.4415991008281708,
0.3947499394416809,21,21,,
,21,21,0.44142597913742065,
0.3919984698295593,22,22,,
,22,22,0.4410938620567322,
0.3971727788448334,23,23,,
,23,23,0.44095173478126526,
0.3930613398551941,24,24,,
,24,24,0.4410302937030792,
0.3776324987411499,25,25,,
,25,25,0.4411258101463318,
0.364412784576416,26,26,,
,26,26,0.441043883562088,
0.3631843030452728,27,27,,
,27,27,0.4410448372364044,
0.36695319414138794,28,28,,
,28,28,0.44129037857055664,
0.37075817584991455,29,29,,
,29,29,0.44181257486343384,
0.3670494556427002,30,30,,
,30,30,0.4427374601364136,
0.3686780631542206,31,31,,
,31,31,0.4438183903694153,
0.3503245711326599,32,32,,
,32,32,0.4434778094291687,
0.34863191843032837,33,33,,
,33,33,0.44258901476860046,
0.33441150188446045,34,34,,
,34,34,0.44222840666770935,
0.31772032380104065,35,35,,
,35,35,0.4428021311759949,
0.3279818296432495,36,36,,
,36,36,0.44336777925491333,
0.3251420855522156,37,37,,
,37,37,0.4447093605995178,
0.3114040493965149,38,38,,
,38,38,0.4456176161766052,
0.3286113440990448,39,39,,
,39,39,0.44483062624931335,
0.32926705479621887,40,40,,
,40,40,0.4443579614162445,
0.34344545006752014,41,41,,
,41,41,0.44367027282714844,
0.31581175327301025,42,42,,
,42,42,0.44367745518684387,
0.31463658809661865,43,43,,
,43,43,0.44457975029945374,
0.3487338423728943,44,44,,
,44,44,0.44451016187667847,
0.31920960545539856,45,45,,
,45,45,0.4434419274330139,
0.305733859539032,46,46,,
,46,46,0.4425784647464752,
0.31031137704849243,47,47,,
,47,47,0.44217124581336975,
0.3195761442184448,48,48,,
,48,48,0.44270390272140503,
0.31783875823020935,49,49,,
,49,49,0.4440562427043915,
,50,50,,0.6581535339355469
